광역시도명,시군구명,기준년월,업종대분류,업종중분류,업종소분류,신규가맹점수,폐업가맹점수,매출가맹점수,카드매출금액,카드매출건수,점당매출금액,건당매출금액
경기,김포시,202012,문화레져,레져,낚시터,0,0,7,11120000,328,1588500,33901
경기,김포시,202012,문화레져,전시/관람/체험,수족관,0,0,3,4591000,92,1530367,49903
경기,김포시,202012,문화레져,전시/관람/체험,연극/음악/공연,0,0,1,40000,1,40000,40000
경기,김포시,202012,문화레져,전시/관람/체험,영화관,3,0,47,32467000,2078,690795,15624
경기,김포시,202012,생활서비스,수리점,가정용품 수리,5,1,81,102459000,1400,1264920,73185
경기,김포시,202012,생활서비스,수리점,정보통신기기 수리,0,0,2,1553000,13,776500,119462
경기,김포시,202012,생활서비스,연료,LPG가스,0,0,17,676328000,16817,39783981,40217
경기,김포시,202012,생활서비스,연료,가정용연료,0,0,28,210680000,674,7524303,312582
경기,김포시,202012,생활서비스,연료,주유소,2,0,92,6049169000,116898,65751832,51747
경기,김포시,202012,생활서비스,열쇠/도장,도장,0,0,2,1770000,39,884895,45379
경기,김포시,202012,생활서비스,열쇠/도장,열쇠,0,0,20,10163000,190,508133,53488
경기,김포시,202012,생활서비스,월납/세금,월납/세금,0,0,1,65000,4,65000,16250
경기,김포시,202012,생활서비스,자동차-기타,렌터카,0,0,8,12404000,55,1550515,225529
경기,김포시,202012,생활서비스,자동차-기타,자동차 견인,2,0,14,5035000,37,359643,136081
경기,김포시,202012,생활서비스,자동차-기타,주차장,2,0,29,8159000,2235,281334,3650
경기,김포시,202012,생활서비스,수리점,가전제품 수리,0,0,2,13245000,262,6622350,50552
경기,김포시,202012,생활서비스,자동차정비,자동차 경정비,12,4,502,1392841000,9205,2774584,151314
경기,김포시,202012,생활서비스,자동차정비,자동차 시트/타이어,2,0,51,232236000,865,4553644,268481
경기,김포시,202012,생활서비스,자동차정비,중장비 판매,0,0,11,78931000,27,7175560,2923376
경기,김포시,202012,생활서비스,택시,택시,0,0,4,1891000,70,472843,27020
경기,김포시,202012,생활서비스,터널/유료도로/하이패스,유료도로,0,0,1,320576000,260484,320576400,1231
경기,김포시,202012,생활서비스,화물운송업,콜밴,0,0,6,2620000,32,436700,81881
